sent	sid	wid	token	lemma	gram	head	link
Милиционер дал ему конфету и банан	33525	1	Милиционер	милиционер	NOUN	Sing,Masc,Nom,Anim	2	nsubj
Милиционер дал ему конфету и банан	33525	2	дал	дать	VERB	Sing,Fin,Ind,Past,Masc	0	root
Милиционер дал ему конфету и банан	33525	3	ему	он	PRON	Sing,Masc,Dat	2	iobj
Милиционер дал ему конфету и банан	33525	4	конфету	конфета	NOUN	Sing,Fem,Acc,Inan	2	dobj
Милиционер дал ему конфету и банан	33525	5	и	и	CONJ		6	cc
Милиционер дал ему конфету и банан	33525	6	банан	банан	NOUN	Sing,Masc,Acc,Inan	4	conj
Морж подарил ей игрушку и очки	33526	1	Морж	морж	NOUN	Sing,Masc,Nom,Anim	2	dep
Морж подарил ей игрушку и очки	33526	2	подарил	дать	VERB	Sing,Fin,Ind,Past,Masc	0	root
Морж подарил ей игрушку и очки	33526	3	ей	он	PRON	Sing,Masc,Dat	2	iobj
Морж подарил ей игрушку и очки	33526	4	игрушку	конфета	NOUN	Sing,Fem,Acc,Inan	2	dep
Морж подарил ей игрушку и очки	33526	5	и	и	CONJ		6	cc
Морж подарил ей игрушку и очки	33526	6	очки	банан	NOUN	Sing,Masc,Acc,Inan	4	conj
Настурция мне отдала помидоры	33527	1	Настурция	милиционер	NOUN	Sing,Masc,Nom,Anim	3	nsubj
Настурция мне отдала помидоры	33527	2	мне	он	PRON	Sing,Masc,Dat	3	iobj
Настурция мне отдала помидоры	33527	3	отдала	дать	VERB	Sing,Fin,Ind,Past,Masc	0	root
Настурция мне отдала помидоры	33527	4	помидоры	конфета	NOUN	Sing,Fem,Acc,Inan	3	dobj
